ROW_NUM, COL_NUM, no. of fault,no. of samples, 2D-PPC, add matrix-2, add matrix-2&3
1,1,2,10000,10000,10000,10000
1,1,3,10000,0,0,0
2,2,2,10000,10000,10000,10000
2,2,3,10000,5761,7857,10000
2,2,4,10000,9290,10000,10000
2,2,5,10000,3623,4328,4328
2,2,6,10000,9300,9660,10000
2,2,7,10000,4940,7487,10000
2,2,8,10000,10000,10000,10000
3,3,2,10000,10000,10000,10000
3,3,3,10000,7487,9162,9719
3,3,4,10000,9800,9980,9980
3,3,5,10000,7605,8752,9421
3,3,6,10000,9880,9962,9962
3,3,7,10000,7423,8729,9356
3,3,8,10000,9772,9961,9961
3,3,9,10000,7505,8741,9347
3,3,10,10000,9879,9966,9966
3,3,11,10000,7673,8786,9463
3,3,12,10000,9792,9980,9980
3,3,13,10000,7462,9108,9713
3,3,14,10000,10000,10000,10000
3,3,15,10000,0,0,0
4,4,2,10000,10000,10000,10000
4,4,3,10000,8277,9557,10000
4,4,4,10000,9926,10000,10000
4,4,5,10000,8981,9668,9885
4,4,6,10000,9965,9997,10000
4,4,7,10000,9070,9687,9907
4,4,8,10000,9954,9999,10000
4,4,9,10000,9016,9687,9897
4,4,10,10000,9963,9996,10000
4,4,11,10000,9025,9697,9920
4,4,12,10000,9958,9998,10000
4,4,13,10000,9077,9678,9897
4,4,14,10000,9962,9998,10000
4,4,15,10000,9048,9742,9931
4,4,16,10000,9953,9997,10000
4,4,17,10000,9004,9683,9906
4,4,18,10000,9957,9998,10000
4,4,19,10000,8997,9667,9913
4,4,20,10000,9973,9998,9998
4,4,21,10000,9537,9942,9961
4,4,22,10000,10000,10000,10000
4,4,23,10000,10000,10000,10000
4,4,24,10000,10000,10000,10000
5,5,2,10000,10000,10000,10000
5,5,3,10000,8813,9746,9952
5,5,4,10000,9960,9999,9999
5,5,5,10000,9385,9867,9983
5,5,6,10000,9987,9998,10000
5,5,7,10000,9631,9941,9990
5,5,8,10000,9991,10000,10000
5,5,9,10000,9670,9931,9988
